gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value,follower_value,density,gap
stackelberg,State of the Art,1,2,0.9344589710235596,6,-2.0,44.0,0.324,46.0
stackelberg,State of the Art,1,3,0.9344589710235596,6,-2.0,44.0,0.1944,46.0
stackelberg,State of the Art,1,4,0.9344589710235596,6,-2.0,44.0,0.11664,46.0
stackelberg,Stackelberg,2,0,3.5741569995880127,5,-3.0000000000000004,38.55172413793103,0.9,41.55172413793103
stackelberg,Stackelberg,2,1,3.5741569995880127,13,-3.0000000000000004,38.55172413793103,0.54,41.55172413793103
stackelberg,Stackelberg,2,2,3.5741569995880127,16,-3.0000000000000004,38.55172413793103,0.324,41.55172413793103
stackelberg,Stackelberg,2,3,3.5741569995880127,18,-3.0000000000000004,38.55172413793103,0.1944,41.55172413793103
stackelberg,Stackelberg,2,4,3.5741569995880127,22,-3.0000000000000004,38.55172413793103,0.11664,41.55172413793103
stackelberg,State of the Art,2,0,2.5916078090667725,5,-3.0,44.0,0.9,47.0
stackelberg,State of the Art,2,1,2.5916078090667725,13,-3.0,44.0,0.54,47.0
stackelberg,State of the Art,2,2,2.5916078090667725,16,-3.0,44.0,0.324,47.0
stackelberg,State of the Art,2,3,2.5916078090667725,18,-3.0,44.0,0.1944,47.0
stackelberg,State of the Art,2,4,2.5916078090667725,22,-3.0,44.0,0.11664,47.0
stackelberg,Stackelberg,3,0,6.458866119384766,7,-4.0,36.55172413793103,0.9,40.55172413793103
stackelberg,Stackelberg,3,1,6.458866119384766,22,-4.0,36.55172413793103,0.54,40.55172413793103
stackelberg,Stackelberg,3,2,6.458866119384766,26,-4.0,36.55172413793103,0.324,40.55172413793103
stackelberg,Stackelberg,3,3,6.458866119384766,36,-4.0,36.55172413793103,0.1944,40.55172413793103
stackelberg,Stackelberg,3,4,6.458866119384766,48,-4.0,36.55172413793103,0.11664,40.55172413793103
stackelberg,State of the Art,3,0,5.413190841674805,7,-4.0,44.0,0.9,48.0
stackelberg,State of the Art,3,1,5.413190841674805,22,-4.0,44.0,0.54,48.0
stackelberg,State of the Art,3,2,5.413190841674805,26,-4.0,44.0,0.324,48.0
stackelberg,State of the Art,3,3,5.413190841674805,36,-4.0,44.0,0.1944,48.0
stackelberg,State of the Art,3,4,5.413190841674805,48,-4.0,44.0,0.11664,48.0
stackelberg,Stackelberg,4,0,12.247253894805908,9,-5.0,34.55172413793103,0.9,39.55172413793103
stackelberg,Stackelberg,4,1,12.247253894805908,31,-5.0,34.55172413793103,0.54,39.55172413793103
stackelberg,Stackelberg,4,2,12.247253894805908,36,-5.0,34.55172413793103,0.324,39.55172413793103
stackelberg,Stackelberg,4,3,12.247253894805908,59,-5.0,34.55172413793103,0.1944,39.55172413793103
stackelberg,Stackelberg,4,4,12.247253894805908,97,-5.0,34.55172413793103,0.11664,39.55172413793103
stackelberg,State of the Art,4,0,10.656867027282715,9,-5.0,44.0,0.9,49.0
stackelberg,State of the Art,4,1,10.656867027282715,31,-5.0,44.0,0.54,49.0
stackelberg,State of the Art,4,2,10.656867027282715,36,-5.0,44.0,0.324,49.0
stackelberg,State of the Art,4,3,10.656867027282715,59,-5.0,44.0,0.1944,49.0
stackelberg,State of the Art,4,4,10.656867027282715,97,-5.0,44.0,0.11664,49.0
stackelberg,Stackelberg,5,0,18.43617820739746,11,-6.000000000000001,32.55172413793104,0.9,38.55172413793104
stackelberg,Stackelberg,5,1,18.43617820739746,40,-6.000000000000001,32.55172413793104,0.54,38.55172413793104
stackelberg,Stackelberg,5,2,18.43617820739746,46,-6.000000000000001,32.55172413793104,0.324,38.55172413793104
stackelberg,Stackelberg,5,3,18.43617820739746,84,-6.000000000000001,32.55172413793104,0.1944,38.55172413793104
stackelberg,Stackelberg,5,4,18.43617820739746,100,-6.000000000000001,32.55172413793104,0.11664,38.55172413793104
stackelberg,State of the Art,5,0,12.525849103927612,11,-6.0,44.0,0.9,50.0
stackelberg,State of the Art,5,1,12.525849103927612,40,-6.0,44.0,0.54,50.0
stackelberg,State of the Art,5,2,12.525849103927612,46,-6.0,44.0,0.324,50.0
stackelberg,State of the Art,5,3,12.525849103927612,84,-6.0,44.0,0.1944,50.0
stackelberg,State of the Art,5,4,12.525849103927612,100,-6.0,44.0,0.11664,50.0
