gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value,follower_value,density,gap
cooperative,Stackelberg,3,0,0.4582040309906006,7,-1.8650406249999996,-1.8650406249999996,0.9,0.0
cooperative,Stackelberg,3,1,0.4582040309906006,10,-0.6614686328124999,-0.6614686328124999,0.54,0.0
cooperative,Stackelberg,3,2,0.4582040309906006,10,-0.6614686328124999,-0.6614686328124999,0.324,0.0
cooperative,Stackelberg,3,3,0.4582040309906006,10,-0.6614686328124999,-0.6614686328124999,0.1944,0.0
cooperative,Stackelberg,3,4,0.4582040309906006,10,-0.6614686328124999,-0.6614686328124999,0.11664,0.0
cooperative,State of the Art,3,0,0.02992391586303711,7,-1.8650406249999996,-1.8650406249999996,0.9,0.0
cooperative,State of the Art,3,1,0.02992391586303711,10,-0.6614686328124999,-0.6614686328124999,0.54,0.0
cooperative,State of the Art,3,2,0.02992391586303711,10,-0.6614686328124999,-0.6614686328124999,0.324,0.0
cooperative,State of the Art,3,3,0.02992391586303711,10,-0.6614686328124999,-0.6614686328124999,0.1944,0.0
cooperative,State of the Art,3,4,0.02992391586303711,10,-0.6614686328124999,-0.6614686328124999,0.11664,0.0
cooperative,Stackelberg,4,0,0.6213850975036621,9,-2.8650406250000002,-2.8650406250000002,0.9,0.0
cooperative,Stackelberg,4,1,0.6213850975036621,13,-1.233612219101562,-1.233612219101562,0.54,0.0
cooperative,Stackelberg,4,2,0.6213850975036621,13,-1.233612219101562,-1.233612219101562,0.324,0.0
cooperative,Stackelberg,4,3,0.6213850975036621,13,-1.233612219101562,-1.233612219101562,0.1944,0.0
cooperative,Stackelberg,4,4,0.6213850975036621,13,-1.233612219101562,-1.233612219101562,0.11664,0.0
cooperative,State of the Art,4,0,0.03656291961669922,9,-2.8650406250000002,-2.8650406250000002,0.9,0.0
cooperative,State of the Art,4,1,0.03656291961669922,13,-1.233612219101562,-1.233612219101562,0.54,0.0
cooperative,State of the Art,4,2,0.03656291961669922,13,-1.233612219101562,-1.233612219101562,0.324,0.0
cooperative,State of the Art,4,3,0.03656291961669922,13,-1.233612219101562,-1.233612219101562,0.1944,0.0
cooperative,State of the Art,4,4,0.03656291961669922,13,-1.233612219101562,-1.233612219101562,0.11664,0.0
cooperative,Stackelberg,5,0,0.7520198822021484,11,-3.8650406250000007,-3.8650406250000007,0.9,0.0
cooperative,Stackelberg,5,1,0.7520198822021484,16,-1.7757167433748537,-1.7757167433748537,0.54,0.0
cooperative,Stackelberg,5,2,0.7520198822021484,16,-1.7757167433748537,-1.7757167433748537,0.324,0.0
cooperative,Stackelberg,5,3,0.7520198822021484,16,-1.7757167433748537,-1.7757167433748537,0.1944,0.0
cooperative,Stackelberg,5,4,0.7520198822021484,16,-1.7757167433748537,-1.7757167433748537,0.11664,0.0
cooperative,State of the Art,5,0,0.04621577262878418,11,-3.8650406250000007,-3.8650406250000007,0.9,0.0
cooperative,State of the Art,5,1,0.04621577262878418,16,-1.7757167433748537,-1.7757167433748537,0.54,0.0
cooperative,State of the Art,5,2,0.04621577262878418,16,-1.7757167433748537,-1.7757167433748537,0.324,0.0
cooperative,State of the Art,5,3,0.04621577262878418,16,-1.7757167433748537,-1.7757167433748537,0.1944,0.0
cooperative,State of the Art,5,4,0.04621577262878418,16,-1.7757167433748537,-1.7757167433748537,0.11664,0.0
zerosum,Stackelberg,1,0,0.21078014373779297,3,-17.019060739577128,17.019060739577128,0.9,34.038121479154256
zerosum,Stackelberg,1,1,0.21078014373779297,4,-16.03078213544325,17.019060739577128,0.54,33.049842875020374
zerosum,Stackelberg,1,2,0.21078014373779297,4,-16.03078213544325,17.019060739577128,0.324,33.049842875020374
zerosum,Stackelberg,1,3,0.21078014373779297,4,-16.03078213544325,17.019060739577128,0.1944,33.049842875020374
zerosum,Stackelberg,1,4,0.21078014373779297,4,-16.03078213544325,17.019060739577128,0.11664,33.049842875020374
zerosum,State of the Art,1,0,0.33327794075012207,3,-12.528103639821493,-12.528103639821493,0.9,0.0
zerosum,State of the Art,1,1,0.33327794075012207,4,-12.444243670837366,-12.444243670837366,0.54,0.0
