gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value,follower_value,density,gap
stackelberg,Stackelberg,2,1,1.3985297679901123,10,8.544444444444444,-1.768888888888889,0.54,10.313333333333333
stackelberg,Stackelberg,2,2,1.3985297679901123,16,8.544444444444444,-1.768888888888889,0.324,10.313333333333333
stackelberg,Stackelberg,2,3,1.3985297679901123,28,8.544444444444444,-1.768888888888889,0.1944,10.313333333333333
stackelberg,Stackelberg,2,4,1.3985297679901123,31,8.544444444444444,-1.768888888888889,0.11664,10.313333333333333
stackelberg,State of the Art,2,0,1.3062729835510254,5,8.0,-0.33333333333333326,0.9,8.333333333333334
stackelberg,State of the Art,2,1,1.3062729835510254,10,8.5,-0.33333333333333326,0.54,8.833333333333334
stackelberg,State of the Art,2,2,1.3062729835510254,16,8.5,-0.33333333333333326,0.324,8.833333333333334
stackelberg,State of the Art,2,3,1.3062729835510254,28,8.5,-0.33333333333333326,0.1944,8.833333333333334
stackelberg,State of the Art,2,4,1.3062729835510254,31,8.5,-0.33333333333333326,0.11664,8.833333333333334
stackelberg,Stackelberg,3,0,2.3441319465637207,7,8.924528205128205,-2.689401709401709,0.9,11.613929914529914
stackelberg,Stackelberg,3,1,2.3441319465637207,15,9.373239372757933,-2.689401709401709,0.54,12.062641082159642
stackelberg,Stackelberg,3,2,2.3441319465637207,26,10.145773523310535,-1.4899319940722329,0.324,11.635705517382767
stackelberg,Stackelberg,3,3,2.3441319465637207,45,10.193788710209223,-1.4699452231587284,0.1944,11.66373393336795
stackelberg,Stackelberg,3,4,2.3441319465637207,51,10.193788710209223,-1.4699452231587284,0.11664,11.66373393336795
stackelberg,State of the Art,3,0,2.2286407947540283,7,8.96265,-0.33333333333333326,0.9,9.295983333333334
stackelberg,State of the Art,3,1,2.2286407947540283,15,9.457479375,-0.33333333333333326,0.54,9.790812708333334
stackelberg,State of the Art,3,2,2.2286407947540283,26,10.218893916666667,-0.33333333333333326,0.324,10.552227250000001
stackelberg,State of the Art,3,3,2.2286407947540283,45,10.349033541666666,-0.33333333333333326,0.1944,10.682366875
stackelberg,State of the Art,3,4,2.2286407947540283,51,10.349033541666666,-0.33333333333333326,0.11664,10.682366875
stackelberg,Stackelberg,4,0,3.355834722518921,9,11.86666666666667,-3.204444444444445,0.9,15.071111111111115
stackelberg,Stackelberg,4,1,3.355834722518921,20,11.86666666666667,-3.204444444444445,0.54,15.071111111111115
stackelberg,Stackelberg,4,2,3.355834722518921,36,11.86666666666667,-3.204444444444445,0.324,15.071111111111115
stackelberg,Stackelberg,4,3,3.355834722518921,62,11.86666666666667,-3.121359370594769,0.1944,14.98802603726144
stackelberg,Stackelberg,4,4,3.355834722518921,71,11.86666666666667,-3.121359370594769,0.11664,14.98802603726144
stackelberg,State of the Art,4,0,3.082056999206543,9,12.0,-0.33333333333333326,0.9,12.333333333333334
stackelberg,State of the Art,4,1,3.082056999206543,20,12.75,-0.33333333333333326,0.54,13.083333333333334
stackelberg,State of the Art,4,2,3.082056999206543,36,12.75,-0.33333333333333326,0.324,13.083333333333334
stackelberg,State of the Art,4,3,3.082056999206543,62,12.999999999999998,-0.33333333333333326,0.1944,13.333333333333332
stackelberg,State of the Art,4,4,3.082056999206543,71,12.999999999999998,-0.33333333333333326,0.11664,13.333333333333332
stackelberg,Stackelberg,5,0,4.435359954833984,11,12.857861538461536,-4.124957264957264,0.9,16.9828188034188
stackelberg,Stackelberg,5,1,4.435359954833984,25,13.02332074481135,-3.627279911009543,0.54,16.650600655820895
stackelberg,Stackelberg,5,2,4.435359954833984,46,13.896397250286297,-3.330927829259091,0.324,17.227325079545388
stackelberg,Stackelberg,5,3,4.435359954833984,79,13.916037591905775,-3.3280281300972003,0.1944,17.244065722002976
stackelberg,Stackelberg,5,4,4.435359954833984,91,13.916037591905775,-3.3280281300972003,0.11664,17.244065722002976
stackelberg,State of the Art,5,0,4.1423468589782715,11,12.96265,-0.33333333333333326,0.9,13.295983333333334
stackelberg,State of the Art,5,1,4.1423468589782715,25,13.609,0.0,0.54,13.609
stackelberg,State of the Art,5,2,4.1423468589782715,46,15.238206916666664,0.0,0.324,15.238206916666664
stackelberg,State of the Art,5,3,4.1423468589782715,79,15.355931041666665,0.0,0.1944,15.355931041666665
stackelberg,State of the Art,5,4,4.1423468589782715,91,15.355931041666665,0.0,0.11664,15.355931041666665
