gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
stackelberg,Stackelberg,1,1,[0.033349037170410156],3,"[(3.499999999999999, -13.499999999999998)]","[(3.499999999999999, -13.499999999999998)]",1e-07
stackelberg,Stackelberg,2,1,[0.15061497688293457],5,"[(6.241484375000001, -9.289609375)]","[(6.241484375000001, -9.289609375)]",1e-07
stackelberg,Stackelberg,3,1,[0.37009525299072266],7,"[(5.5203625, -16.6259)]","[(5.5203625, -16.6259)]",1e-07
stackelberg,Stackelberg,4,1,[0.5212869644165039],9,"[(5.317470953125, -18.495219734375)]","[(5.317470953125, -18.495219734375)]",1e-07
stackelberg,Stackelberg,5,1,[0.9395389556884766],11,"[(5.265733608671876, -18.971896266640627)]","[(5.265733608671876, -18.971896266640627)]",1e-07
stackelberg,Stackelberg,6,1,[1.1792371273040771],11,"[(5.2525405858363285, -19.093448782368363)]","[(5.2525405858363285, -19.093448782368363)]",1e-07
stackelberg,Stackelberg,7,1,[1.5369937419891357],11,"[(5.2491763650132635, -19.124444673878934)]","[(5.2491763650132635, -19.124444673878934)]",1e-07
stackelberg,Stackelberg,8,1,[2.0700809955596924],11,"[(5.248318488703383, -19.132348626214128)]","[(5.248318488703383, -19.132348626214128)]",1e-07
stackelberg,Stackelberg,9,1,[2.443777084350586],11,"[(5.248099730244363, -19.134364134059602)]","[(5.248099730244363, -19.134364134059602)]",1e-07
stackelberg,Stackelberg,10,1,[2.605404853820801],11,"[(5.248043946837313, -19.1348780885602)]","[(5.248043946837313, -19.1348780885602)]",1e-07
