gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
zerosum,State of the Art,3,3,"[0.40224575996398926, 0.7864770889282227, 1.169550895690918]",7,"[(-75.0, 75.0), (-75.0, 75.0), (-75.0, 75.0)]","[(-75.0, 75.0), (-75.0, 75.0), (-75.0, 75.0)]",1e-05
zerosum,State of the Art,4,3,"[0.6604678630828857, 1.3353619575500488, 1.992501974105835]",9,"[(-75.0, 75.0), (-75.0, 75.0), (-75.0, 75.0)]","[(-75.0, 75.0), (-75.0, 75.0), (-75.0, 75.0)]",1e-05
zerosum,Stackelberg,1,3,"[0.03363299369812012, 0.06494498252868652, 0.09912705421447754]",3,"[(-74.99999999999999, 74.99999999999999), (-74.99999999999999, 74.99999999999999), (-74.99999999999999, 74.99999999999999)]","[(-74.99999999999999, 74.99999999999999), (-74.99999999999999, 74.99999999999999), (-74.99999999999999, 74.99999999999999)]",1e-05
zerosum,Stackelberg,2,3,"[0.13112282752990723, 0.26298999786376953, 0.3936629295349121]",5,"[(-75.0, 75.0), (-75.0, 75.0), (-75.0, 75.0)]","[(-75.0, 75.0), (-75.0, 75.0), (-75.0, 75.0)]",1e-05
zerosum,Stackelberg,3,3,"[0.31219005584716797, 0.6424713134765625, 0.9440510272979736]",7,"[(-75.0, 75.0), (-75.0, 75.0), (-75.0, 75.0)]","[(-75.0, 75.0), (-75.0, 75.0), (-75.0, 75.0)]",1e-05
zerosum,Stackelberg,4,3,"[0.5692768096923828, 1.094944953918457, 1.6599009037017822]",9,"[(-75.0, 75.0), (-75.0, 75.0), (-75.0, 75.0)]","[(-75.0, 75.0), (-75.0, 75.0), (-75.0, 75.0)]",1e-05
stackelberg,State of the Art,1,3,"[0.0283050537109375, 0.05795097351074219, 0.08653903007507324]",3,"[(3.499999999999999, -13.499999999999998), (3.499999999999999, -13.499999999999998), (3.499999999999999, -13.499999999999998)]","[(3.499999999999999, -13.499999999999998), (3.499999999999999, -13.499999999999998), (3.499999999999999, -13.499999999999998)]",1e-05
stackelberg,State of the Art,2,3,"[0.1359269618988037, 0.25821471214294434, 0.3805668354034424]",5,"[(6.241484374999999, -13.499999999999998), (6.241484374999999, -13.499999999999998), (6.241484374999999, -13.499999999999998)]","[(6.241484374999999, -13.499999999999998), (6.241484374999999, -13.499999999999998), (6.241484374999999, -13.499999999999998)]",1e-05
stackelberg,State of the Art,3,3,"[0.3142869472503662, 0.6406698226928711, 0.9633767604827881]",7,"[(5.366260021972655, -13.499999999999998), (5.366260021972655, -13.499999999999998), (5.366260021972655, -13.499999999999998)]","[(5.366260021972655, -13.499999999999998), (5.366260021972655, -13.499999999999998), (5.366260021972655, -13.499999999999998)]",1e-05
stackelberg,State of the Art,4,3,"[0.5332701206207275, 1.0470092296600342, 1.586487054824829]",9,"[(5.150947903722762, -13.499999999999998), (5.150947903722762, -13.499999999999998), (5.150947903722762, -13.499999999999998)]","[(5.148325883907317, -13.499999999999998), (5.148325883907317, -13.499999999999998), (5.148325883907317, -13.499999999999998)]",1e-05
stackelberg,Stackelberg,1,3,"[0.029533863067626953, 0.05781698226928711, 0.08670306205749512]",3,"[(3.499999999999999, -13.499999999999998), (3.499999999999999, -13.499999999999998), (3.499999999999999, -13.499999999999998)]","[(3.499999999999999, -13.499999999999998), (3.499999999999999, -13.499999999999998), (3.499999999999999, -13.499999999999998)]",1e-05
stackelberg,Stackelberg,2,3,"[0.12772011756896973, 0.24886798858642578, 0.3704040050506592]",5,"[(6.241484375000001, -9.289609375), (6.241484375000001, -9.289609375), (6.241484375000001, -9.289609375)]","[(6.241484375000001, -9.289609375), (6.241484375000001, -9.289609375), (6.241484375000001, -9.289609375)]",1e-05
stackelberg,Stackelberg,3,3,"[0.29673123359680176, 0.5764212608337402, 0.8420710563659668]",7,"[(5.5203625, -16.6259), (5.5203625, -16.6259), (5.5203625, -16.6259)]","[(5.5203625, -16.6259), (5.5203625, -16.6259), (5.5203625, -16.6259)]",1e-05
stackelberg,Stackelberg,4,3,"[0.5001070499420166, 0.9803509712219238, 1.5053651332855225]",9,"[(5.317470953125, -18.495219734375), (5.317470953125, -18.495219734375), (5.317470953125, -18.495219734375)]","[(5.317470953125, -18.495219734375), (5.317470953125, -18.495219734375), (5.317470953125, -18.495219734375)]",1e-05
